year,month,deliveries,yoy_percent,yoy_origin,source_url
2021,01,7225,352.1,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-january-2021-delivery-update
2021,03,7257,373.0,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-march-and-first-quarter-2021
2021,04,7102,125.1,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-april-2021-delivery-update
2021,05,6711,95.3,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-may-2021-delivery-update
2021,06,8083,116.1,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-june-and-second-quarter-2021
2021,07,7931,124.5,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-july-2021-delivery-update
2021,08,5880,48.3,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-august-2021-delivery-update-and
2021,09,10628,125.7,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-september-and-third-quarter-2021
2021,10,3667,-27.5,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-october-2021-delivery-update
2021,11,10878,105.6,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-november-2021-delivery-update
2021,12,10489,49.7,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-december-fourth-quarter-and-full-0
2022,01,9652,33.6,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-january-2022-delivery-update
2022,02,6131,9.9,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-february-2022-delivery-update/
2022,03,9985,37.6,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-march-and-first-quarter-2022/
2022,04,5074,-28.6,computed,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-april-2022-delivery-update/
2022,05,7024,4.7,computed,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-may-2022-delivery-update/
2022,06,12961,60.3,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-june-and-second-quarter-2022/
2022,07,10052,26.7,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-july-2022-delivery-update/
2022,08,10677,81.6,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-august-2022-delivery-update/
2022,09,10878,2.4,computed,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-september-and-third-quarter-2022/
2022,10,10059,174.3,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-october-2022-delivery-update/
2022,11,14178,30.3,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-november-2022-delivery-update/
2022,12,15815,50.8,reported,https://ir.nio.com/news-events/news-releases/news-release-details/nio-inc-provides-december-fourth-quarter-and-full-1/
